Freq.	I(R1)
2.05000000000000e+05	(-1.62944789422934e+02dB,1.01132536239967e+02°)
2.10000000000000e+05	(-1.63083229497026e+02dB,1.01143529046978e+02°)
2.15000000000000e+05	(-1.63227100518136e+02dB,1.01251118984827e+02°)
2.20000000000000e+05	(-1.63381965327719e+02dB,1.01420359277100e+02°)
2.25000000000000e+05	(-1.63536384863699e+02dB,1.01385131040785e+02°)
2.30000000000000e+05	(-1.63669431877777e+02dB,1.01351585449428e+02°)
2.35000000000000e+05	(-1.63809675205895e+02dB,1.01426539261792e+02°)
2.40000000000000e+05	(-1.63928848312336e+02dB,1.01454912530193e+02°)
2.45000000000000e+05	(-1.64046650122088e+02dB,1.01351878368085e+02°)
2.50000000000000e+05	(-1.40376926334103e+02dB,1.38556850905339e+02°)
2.55000000000000e+05	(-1.64360438253099e+02dB,1.01542565549537e+02°)
2.60000000000000e+05	(-1.64506412869745e+02dB,1.01438372671108e+02°)
2.65000000000000e+05	(-1.64638022644820e+02dB,1.01251470914935e+02°)
2.70000000000000e+05	(-1.64773982183650e+02dB,1.01044825113957e+02°)
2.75000000000000e+05	(-1.64894115828015e+02dB,1.00863667384089e+02°)
2.80000000000000e+05	(-1.65041415449075e+02dB,1.00826827855870e+02°)
2.85000000000000e+05	(-1.65212173848587e+02dB,1.00722520928660e+02°)
2.90000000000000e+05	(-1.65349468317330e+02dB,1.00686038439989e+02°)
2.95000000000000e+05	(-1.65461635598451e+02dB,1.00335518032891e+02°)
3.00000000000000e+05	(-1.63520173488563e+02dB,-2.52810569162686e+01°)
3.05000000000000e+05	(-1.65712703955129e+02dB,1.01038666844146e+02°)
3.10000000000000e+05	(-1.65794564743940e+02dB,1.01011399942104e+02°)
3.15000000000000e+05	(-1.65886940562476e+02dB,1.01024992243891e+02°)
3.20000000000000e+05	(-1.65994937799935e+02dB,1.01060454359345e+02°)
3.25000000000000e+05	(-1.66100844920997e+02dB,1.00965292134989e+02°)
3.30000000000000e+05	(-1.66193506121639e+02dB,1.00855570286804e+02°)
3.35000000000000e+05	(-1.66281738129633e+02dB,1.00844344058063e+02°)
3.40000000000000e+05	(-1.66362343707818e+02dB,1.00910587827516e+02°)
3.45000000000000e+05	(-1.66453167874067e+02dB,1.00749966693500e+02°)
3.50000000000000e+05	(-1.48745746089747e+02dB,1.61163658901783e+02°)
3.55000000000000e+05	(-1.66782545237220e+02dB,1.00430433118564e+02°)
3.60000000000000e+05	(-1.66879047680606e+02dB,1.00303069540174e+02°)
3.65000000000000e+05	(-1.66955389015561e+02dB,1.00202427139509e+02°)
3.70000000000000e+05	(-1.67063898065362e+02dB,9.99494613500390e+01°)
3.75000000000000e+05	(-1.67150463506466e+02dB,9.97864070826834e+01°)
3.80000000000000e+05	(-1.67270185431639e+02dB,9.98674831582702e+01°)
3.85000000000000e+05	(-1.67397928416315e+02dB,9.97639915465469e+01°)
3.90000000000000e+05	(-1.67481713323454e+02dB,9.96461153082168e+01°)
3.95000000000000e+05	(-1.67502400777501e+02dB,9.92432883299104e+01°)
4.00000000000000e+05	(-1.63502531363823e+02dB,7.45797514600346e+00°)
4.05000000000000e+05	(-1.67734154453956e+02dB,1.00229492060195e+02°)
4.10000000000000e+05	(-1.67811742194107e+02dB,1.00135851277979e+02°)
4.15000000000000e+05	(-1.67893078864048e+02dB,1.00039516561156e+02°)
4.20000000000000e+05	(-1.67977712210583e+02dB,9.99909066768229e+01°)
4.25000000000000e+05	(-1.68068834925844e+02dB,9.99909599121799e+01°)
4.30000000000000e+05	(-1.68145527786229e+02dB,9.98342570743346e+01°)
4.35000000000000e+05	(-1.68196023376062e+02dB,9.98055274624752e+01°)
4.40000000000000e+05	(-1.68285216514131e+02dB,9.98633814816251e+01°)
